81.785: [GC 10208940K->10208917K(12279488K), 0.1120900 secs]
81.986: [GC 10277046K->10277005K(12279488K), 0.1237026 secs]
82.199: [GC 10345146K->10345113K(12279488K), 0.1294879 secs]
83.835: [GC 9415480K->9414670K(12279488K), 0.1152102 secs]
84.040: [GC 9443094K->9442999K(12279488K), 0.1107094 secs]
84.239: [GC 9511154K->9511138K(12279488K), 0.1122011 secs]
84.429: [GC 9579298K->9574424K(12279488K), 0.1043532 secs]
84.624: [GC 9642584K->9641647K(12279488K), 0.1230355 secs]
86.532: [GC 9709795K->9699195K(12279488K), 0.0847597 secs]
86.708: [GC 9767355K->9767166K(12279488K), 0.1056426 secs]
86.905: [GC 9835326K->9835317K(12279488K), 0.1096300 secs]
87.108: [GC 9903477K(12279488K), 0.0675002 secs]
87.176: [GC 9903477K->9903465K(12279488K), 0.1217488 secs]
88.939: [GC 9971625K->9968607K(12279488K), 0.1116168 secs]
89.135: [GC 10036767K->10036704K(12279488K), 0.1154112 secs]
89.334: [GC 10104864K->10104694K(12279488K), 0.1184781 secs]
89.537: [GC 10172854K->10172827K(12279488K), 0.1214695 secs]
92.772: [GC 10216281K(12279488K), 0.0235805 secs]
